date,rating,title,review
2026-03-01,2,Login issue,App keeps crashing during login after update
2026-03-02,1,KYC problem,KYC verification failed multiple times very frustrating
2026-03-03,5,Great UI,Really clean and easy to use interface
2026-03-05,3,Slow app,App is getting slow during market hours
2026-03-07,2,Payment failed,UPI payment failed but money got deducted
2026-03-08,4,Good app,Overall good experience for investing
2026-03-09,1,Withdrawal delay,Withdrawal is taking too long to process
2026-03-10,2,App crash,App crashes frequently while opening portfolio
2026-03-12,3,KYC delay,KYC approval took too many days
2026-03-13,5,Easy investing,Very beginner friendly app
2026-03-14,2,Payment issue,Payment stuck during SIP setup
2026-03-15,1,Login problem,Unable to login after entering OTP
2026-03-16,4,Good UI,Nice design and smooth navigation
2026-03-18,2,Withdrawal issue,Money not credited even after 3 days
2026-03-19,3,Slow loading,Portfolio takes time to load
2026-03-20,1,App bug,App stuck on loading screen
2026-03-21,5,Helpful app,Good for beginners to start investing
2026-03-22,2,KYC error,KYC keeps getting rejected without reason
2026-03-23,3,Payment delay,SIP payment took long time to process
2026-03-24,4,Good experience,Easy to track investments
